{'loss': 0.2552, 'learning_rate': 0.00025936363636363635, 'epoch': 0.51, 'steps': 249}
{'loss': 0.3183, 'learning_rate': 0.00025909090909090907, 'epoch': 0.51, 'steps': 250}
{'loss': 0.5879, 'learning_rate': 0.0002588181818181818, 'epoch': 0.51, 'steps': 251}
{'loss': 0.5427, 'learning_rate': 0.0002585454545454545, 'epoch': 0.51, 'steps': 252}
{'loss': 0.5261, 'learning_rate': 0.00025827272727272727, 'epoch': 0.52, 'steps': 253}
{'loss': 0.4984, 'learning_rate': 0.000258, 'epoch': 0.52, 'steps': 254}
{'loss': 0.4782, 'learning_rate': 0.0002577272727272727, 'epoch': 0.52, 'steps': 255}
{'loss': 0.4582, 'learning_rate': 0.0002574545454545454, 'epoch': 0.52, 'steps': 256}
{'loss': 0.4681, 'learning_rate': 0.0002571818181818182, 'epoch': 0.52, 'steps': 257}
{'loss': 0.4591, 'learning_rate': 0.0002569090909090909, 'epoch': 0.53, 'steps': 258}
{'loss': 0.4443, 'learning_rate': 0.0002566363636363636, 'epoch': 0.53, 'steps': 259}
{'loss': 0.4408, 'learning_rate': 0.00025636363636363633, 'epoch': 0.53, 'steps': 260}
{'loss': 0.4361, 'learning_rate': 0.00025609090909090905, 'epoch': 0.53, 'steps': 261}
{'loss': 0.4274, 'learning_rate': 0.0002558181818181818, 'epoch': 0.53, 'steps': 262}
{'loss': 0.4215, 'learning_rate': 0.00025554545454545453, 'epoch': 0.54, 'steps': 263}
{'loss': 0.4177, 'learning_rate': 0.00025527272727272725, 'epoch': 0.54, 'steps': 264}
{'loss': 0.4029, 'learning_rate': 0.00025499999999999996, 'epoch': 0.54, 'steps': 265}
{'loss': 0.3809, 'learning_rate': 0.00025472727272727273, 'epoch': 0.54, 'steps': 266}
{'loss': 0.401, 'learning_rate': 0.0002544545454545454, 'epoch': 0.54, 'steps': 267}
{'loss': 0.3982, 'learning_rate': 0.00025418181818181817, 'epoch': 0.55, 'steps': 268}
{'loss': 0.3796, 'learning_rate': 0.0002539090909090909, 'epoch': 0.55, 'steps': 269}
{'loss': 0.3694, 'learning_rate': 0.0002536363636363636, 'epoch': 0.55, 'steps': 270}
{'loss': 0.38, 'learning_rate': 0.00025336363636363637, 'epoch': 0.55, 'steps': 271}
{'loss': 0.3642, 'learning_rate': 0.0002530909090909091, 'epoch': 0.55, 'steps': 272}
{'loss': 0.369, 'learning_rate': 0.0002528181818181818, 'epoch': 0.56, 'steps': 273}
{'loss': 0.3769, 'learning_rate': 0.0002525454545454545, 'epoch': 0.56, 'steps': 274}
{'loss': 0.3495, 'learning_rate': 0.0002522727272727273, 'epoch': 0.56, 'steps': 275}
{'loss': 0.3589, 'learning_rate': 0.00025199999999999995, 'epoch': 0.56, 'steps': 276}
{'loss': 0.3603, 'learning_rate': 0.0002517272727272727, 'epoch': 0.56, 'steps': 277}
{'loss': 0.3535, 'learning_rate': 0.00025145454545454543, 'epoch': 0.57, 'steps': 278}
